                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 2.4073,                0.93367,                 2.0059,                0.96888,                0.95712,                0.98339,                0.61177,                 2.7948,                0.87214,                 2.2859,              0.0006932,              0.0006932,              0.0006932
                    134,                 2.3985,                0.92881,                 2.0079,                0.97754,                0.96154,                0.98665,                0.60407,                 2.8535,                0.88549,                 2.3077,              0.0006833,              0.0006833,              0.0006833
                    135,                 2.4211,                0.93611,                 1.9891,                0.97115,                0.97007,                0.98835,                0.61657,                 2.7537,                0.87177,                 2.2718,              0.0006734,              0.0006734,              0.0006734
                    136,                 2.4095,                 0.9289,                 1.9895,                0.97404,                0.96638,                 0.9891,                0.61434,                 2.7819,                0.87253,                 2.2823,              0.0006635,              0.0006635,              0.0006635
                    137,                 2.4208,                0.93122,                 1.9897,                0.97351,                0.95302,                0.98817,                0.60711,                  2.791,                0.89062,                  2.299,              0.0006536,              0.0006536,              0.0006536
                    138,                 2.4035,                0.93609,                  2.005,                0.97383,                0.96522,                0.98869,                0.61756,                 2.7426,                0.87047,                 2.2648,              0.0006437,              0.0006437,              0.0006437
                    139,                 2.4266,                0.93807,                  1.998,                0.97569,                0.96403,                0.98607,                0.60534,                  2.799,                0.87295,                 2.2879,              0.0006338,              0.0006338,              0.0006338
                    140,                 2.4139,                0.93699,                 1.9854,                0.97949,                0.95869,                0.98884,                0.61119,                 2.7914,                0.87172,                 2.2774,              0.0006239,              0.0006239,              0.0006239
                    141,                 2.3855,                0.92033,                  1.987,                0.97385,                0.96592,                0.98892,                0.61377,                 2.7706,                0.86673,                 2.2809,               0.000614,               0.000614,               0.000614
                    142,                 2.3575,                0.91438,                 1.9733,                0.95826,                0.97791,                0.98866,                 0.6075,                 2.7999,                0.87229,                  2.298,              0.0006041,              0.0006041,              0.0006041
                    143,                  2.417,                0.92594,                 1.9827,                0.97578,                0.96756,                0.98963,                0.61221,                 2.7942,                0.87639,                 2.2894,              0.0005942,              0.0005942,              0.0005942
                    144,                 2.3998,                0.92217,                 2.0057,                0.97942,                0.95983,                0.98851,                0.61393,                 2.7986,                0.86401,                 2.2842,              0.0005843,              0.0005843,              0.0005843
                    145,                 2.3931,                0.92279,                 1.9753,                0.97972,                0.97458,                0.98964,                0.61178,                 2.7826,                0.86637,                 2.2815,              0.0005744,              0.0005744,              0.0005744
                    146,                 2.3393,                0.89753,                 1.9735,                0.97743,                0.95673,                0.98903,                0.60506,                 2.8117,                0.88721,                 2.2969,              0.0005645,              0.0005645,              0.0005645
                    147,                 2.3782,                0.92717,                 1.9763,                0.96718,                0.96638,                0.98852,                  0.609,                 2.7822,                0.88024,                 2.2857,              0.0005546,              0.0005546,              0.0005546
